osm_id,name,type,x,y,z
163762428,INOVA,,2555.945454691244,2307.239101028714,1.5
95463723,BC,library,1448.467150631805,1935.840334374387,1.5
95011161,CBII,university,1502.390005797259,1795.489975833367,1.5
362643631,DGRH,university,1852.204178237149,1105.998668216931,1.5
537142892,FCM,university,2218.705402208486,433.3588800304835,1.5
269851018,FEEC,university,1976.884759194051,1404.587103415094,1.5
554951124,FEM,,2000.289597455937,1603.035558602481,1.5
556327623,FUNCAMP,,1920.54572327696,2405.966817268848,1.5
95540601,IB,public,1671.355840023014,1447.295432324154,1.5
95011169,IC,university,2119.038391333797,2106.153351423107,1.5
95463722,IFCH,university,1735.663086872921,2039.962339946031,1.5
95463724,IMECC,university,1815.60147877401,1999.77562204391,1.5
562047775,PREFEITURA,,1929.015445586124,974.2476725617857,1.5
269851019,RA,restaurant,2100.988848821568,1265.442596044271,1.5
270488633,RS,restaurant,2364.718497265595,2065.622354490475,1.5
95463718,RU,restaurant,1363.622221307246,1796.177263492737,1.5
554951142,CCS,,2089.5582597192,1166.067834341789,1.5
556327645,GASTROCENTRO,,2350.703231583498,643.1427139976425,1.5
556327636,HEMOCENTRO,,2358.055619262115,566.1596701010797,1.5
556327686,CEMEQ,,2294.716465727012,1170.852414720308,1.5
95463720,CDC,university,1460.900463583371,2075.61890946265,1.5
554951141,DGA,,1989.778660527335,1102.519017605478,1.5
537155702,DEdIC,university,2437.788100954582,611.6213942037465,1.5
537142893,FEnf,university,2283.790994877875,325.283382309187,1.5
97592693,FEAGRI,,2490.486476949984,1581.510004286141,1.5
554951120,FEA,,1851.117858739216,1487.911805869362,1.5
554968138,FEQ,,2078.83575311783,1506.640265031995,1.5
562047779,GR,university,1900.90499850535,1058.342542491439,1.5
556327698,IEL,,1647.898997076315,2090.998891535424,1.5
96493946,IQ,,1872.411479550548,1672.640199824256,1.5
